texto_sesgado,texto_corregido,tipo_sesgo,explicacion,label_id,texto_seschado,texto_sesgrado,texto_sesjado
Buscamos un desarrollador full-stack con 3 años de experiencia en React y Node.js. El candidato debe liderar proyectos y mentorizar a juniors.,Buscamos profesional full-stack con 3 años de experiencia en React y Node.js. La persona seleccionada liderará proyectos y mentorizará a perfiles junior.,sesgo_genero_masculino,Se reemplazaron 'desarrollador' y 'candidato' por términos neutrales que mantienen los requisitos técnicos y la responsabilidad de liderazgo.,0,,,
Empresa de retail requiere vendedores con orientación a resultados y disponibilidad para viajar.,Empresa de retail requiere profesionales de ventas con orientación a resultados y disponibilidad para viajar.,sesgo_genero_masculino,Se reemplazó 'vendedores' por 'profesionales de ventas' para evitar el uso del masculino genérico.,0,,,
Se busca programador full-stack con 3 años de experiencia en React y Node.js.,Se busca profesional full-stack con 3 años de experiencia en React y Node.js.,sesgo_genero_masculino,Se sustituyó el sustantivo masculino 'programador' por el término neutro 'profesional' manteniendo los requisitos técnicos.,0,,,
Empresa de transporte busca chofer con licencia C para rutas interurbanas; el candidato realizará entregas y control de documentación.,Empresa de transporte busca persona conductora con licencia C para rutas interurbanas; la persona seleccionada realizará entregas y control de documentación.,sesgo_genero_masculino,Uso de 'persona conductora' en lugar de 'chofer' evita el masculino genérico y mantiene el requisito de licencia y las tareas operativas.,0,,,
Se necesita operario para línea de producción; el candidato deberá operar y ajustar máquinas CNC y seguir normas de seguridad.,Se necesita personal de producción para línea de montaje; la persona deberá operar y ajustar máquinas CNC y seguir normas de seguridad.,sesgo_genero_masculino,"Se sustituyó 'operario' por 'personal de producción' y 'candidato' por 'la persona' para evitar el género masculino, conservando habilidades técnicas.",0,,,
"Se busca community manager creativo. El candidato gestionará publicaciones, métricas y campañas en redes sociales.","Se busca responsable de comunicación digital con enfoque en gestión de comunidades y creatividad. La persona gestionará publicaciones, métricas y campañas en redes sociales.",sesgo_genero_masculino,Reformulación a 'responsable de comunicación digital' y uso de 'la persona' para neutralizar el rol manteniendo las funciones del puesto.,0,,,
Buscamos profesor de matemáticas para secundaria; el candidato debe diseñar planes de clase y evaluar competencias curriculares.,Buscamos docente de matemáticas para educación secundaria; la persona deberá diseñar planes de clase y evaluar competencias curriculares.,sesgo_genero_masculino,Se cambió 'profesor' por 'docente' y 'candidato' por 'la persona' para evitar el masculino genérico sin alterar las responsabilidades pedagógicas.,0,,,
Se necesita contable con conocimientos en IFRS y manejo de ERP. El candidato deberá preparar cierres mensuales.,Se necesita profesional de contabilidad con conocimientos en NIIF/IFRS y manejo de ERP. La persona deberá preparar cierres mensuales.,sesgo_genero_masculino,Sustitución de 'contable' en masculino por 'profesional de contabilidad' y 'la persona' para neutralizar el lenguaje manteniendo las competencias.,0,,,
"Empresa solicita administrador para gestionar facturación, contratos y nómina. El candidato reportará al director financiero.","Empresa solicita profesional de administración para gestionar facturación, contratos y nómina. La persona seleccionada reportará al/la director/a financiero/a.",sesgo_genero_masculino,Se reemplazó 'administrador' por 'profesional de administración' y se neutralizó el cargo de reporte para evitar el masculino genérico.,0,,,
Se busca albañil con experiencia en estructuras de hormigón y manejo de planos. El candidato debe tener formación técnica.,Se busca profesional de la construcción con experiencia en estructuras de hormigón y manejo de planos. La persona deberá tener formación técnica.,sesgo_genero_masculino,"Cambio de 'albañil' por 'profesional de la construcción' para neutralizar el género, conservando los requisitos formativos y técnicos.",0,,,
Necesitamos enfermero para turno de noche; el candidato debe registrar signos vitales y administrar medicación según protocolo.,Se necesita personal de enfermería para turno de noche; la persona deberá registrar signos vitales y administrar medicación según protocolo.,sesgo_genero_masculino,"Se evitó el sustantivo en masculino ('enfermero') usando 'personal de enfermería' y 'la persona', manteniendo las tareas clínicas.",0,,,
Se requiere representante de ventas con alta capacidad de negociación y experiencia en B2B. El candidato gestionará grandes cuentas.,Se busca profesional de ventas con alta capacidad de negociación y experiencia en B2B. La persona contratada gestionará grandes cuentas.,sesgo_genero_masculino,"Se reemplazó 'representante' y 'candidato' por terminología neutral ('profesional de ventas', 'la persona contratada') sin cambiar las responsabilidades.",0,,,
Buscamos un desarrollador backend experto en Java y microservicios. El candidato debe tener 5 años de experiencia en arquitecturas distribuidas.,Buscamos profesional de desarrollo backend experto en Java y microservicios. La persona seleccionada debe tener 5 años de experiencia en arquitecturas distribuidas.,sesgo_genero_masculino,"Se sustituyó 'desarrollador' y 'candidato' por términos neutrales para evitar el masculino genérico, manteniendo los requisitos técnicos.",0,,,
Se necesita abogado laboral para asesoría a empresas con al menos 3 años de experiencia.,Se necesita profesional del área legal especializado en derecho laboral para asesoría a empresas con al menos 3 años de experiencia.,sesgo_genero_masculino,Se sustituye 'abogado' por 'profesional del área legal' para lenguaje inclusivo sin modificar el requisito de experiencia.,0,,,
Buscamos copywriter joven para campañas digitales.,Buscamos profesional de contenidos para campañas digitales con experiencia en redacción publicitaria.,sesgo_genero_masculino,"Se elimina el término 'joven' (implícito de edad) y el uso de masculino, centrándose en la experiencia requerida.",0,,,
"Se requiere chófer con licencia profesional, solo hombres.",Se requiere persona conductora profesional con licencia vigente. Se valorará experiencia en rutas de larga distancia.,sesgo_genero_masculino,Se elimina la restricción por género y se usa 'persona conductora' para incluir a cualquier género manteniendo la exigencia de licencia.,0,,,
Se necesita enfermero para turno de mañana en unidad de cuidados intensivos.,Se necesita profesional de enfermería para turno de mañana en unidad de cuidados intensivos.,sesgo_genero_masculino,Se cambió 'enfermero' por 'profesional de enfermería' para neutralizar el género manteniendo la función y el turno.,0,,,
Analista financiero: se valorará que el candidato tenga 3 años en control de gestión.,Analista de control de gestión: se valorará que la persona candidata tenga 3 años de experiencia en control de gestión.,sesgo_genero_masculino,"Se evita 'candidato' en masculino aislado y se usa 'persona candidata', manteniendo la descripción técnica.",0,,,
Se requieren albañiles con experiencia en obra gruesa y manejo de herramientas.,Se requiere personal de construcción con experiencia en obra gruesa y manejo de herramientas.,sesgo_genero_masculino,Se sustituyó 'albañiles' por 'personal de construcción' para usar un término colectivo y neutral.,0,,,
Se busca un community manager creativo con experiencia en campañas digitales.,Se busca persona responsable de redes sociales con enfoque creativo y experiencia en campañas digitales.,sesgo_genero_masculino,Se evitó el artículo masculino 'un' y el término masculinizado sustituyéndolo por 'persona responsable de redes sociales'.,0,,,
Buscamos un ingeniero de software con 5 años de experiencia en Java.,Buscamos profesional de ingeniería de software con 5 años de experiencia en Java.,sesgo_genero_masculino,Se reemplaza el sustantivo masculino 'ingeniero' por un término neutral que mantiene el requisito técnico.,0,,,
Buscamos abogado laboral con 3 años de experiencia en litigios.,Buscamos profesional del área jurídica con 3 años de experiencia en litigios laborales.,sesgo_genero_masculino,Se sustituye 'abogado' por 'profesional del área jurídica' para evitar el masculino genérico y mantener la experiencia requerida.,0,,,
"Se necesita conductor de camión para rutas interprovinciales, carnet vigente.","Se necesita persona conductora de camión para rutas interprovinciales, carnet vigente.",sesgo_genero_masculino,Se utiliza 'persona conductora' para neutralizar el término 'conductor' en masculino sin cambiar el requisito del carnet.,0,,,
Se busca community manager. El candidato debe crear contenido y gestionar redes.,Se busca profesional de community management. La persona seleccionada debe crear contenido y gestionar redes.,sesgo_genero_masculino,"Se evita 'el candidato' y se emplea 'persona seleccionada' para neutralizar el género, conservando las tareas.",0,,,
Analista financiero con manejo avanzado de Excel y modelado financiero.,Profesional de análisis financiero con manejo avanzado de Excel y modelado financiero.,sesgo_genero_masculino,Se cambia 'analista financiero' por un término neutral que evita el masculino por defecto.,0,,,
"Se necesita profesor de matemáticas para secundaria, experiencia en exámenes estandarizados.","Se necesita docente de matemáticas para secundaria, con experiencia en exámenes estandarizados.",sesgo_genero_masculino,Se sustituye 'profesor' por 'docente' para un lenguaje inclusivo manteniendo el requisito.,0,,,
Se busca administrativo para gestionar facturación y atención telefónica.,Se busca personal administrativo para gestionar facturación y atención telefónica.,sesgo_genero_masculino,Se utiliza 'personal administrativo' en vez de 'administrativo' para eliminar el masculino genérico.,0,,,
Se requiere maestro de obra que coordine subcontratistas y gestione cronograma.,Se requiere jefatura de obra que coordine subcontratistas y gestione el cronograma.,sesgo_genero_masculino,Se reemplaza 'maestro de obra' por 'jefatura de obra' para evitar una referencia en masculino y mantener las responsabilidades.,0,,,
"Se necesita enfermero para unidad de cuidados intensivos, imprescindible certificación.","Se necesita profesional de enfermería para la unidad de cuidados intensivos, imprescindible certificación.",sesgo_genero_masculino,Se usa 'profesional de enfermería' en lugar de 'enfermero' para neutralizar el género manteniendo el requisito técnico.,0,,,
Buscamos vendedor con orientación a objetivos y experiencia en CRM.,Buscamos profesional de ventas con orientación a objetivos y experiencia en CRM.,sesgo_genero_masculino,Se sustituye 'vendedor' por 'profesional de ventas' para evitar el uso del masculino genérico.,0,,,
